symbol,1h_levels,4h_levels
BTC_USDT,"26830.8806, 41819.01677419355, 43168.17490196078, 44507.44388888889, 51433.04894736842, 56370.4975, 57851.75086956522, 59625.67272727273, 61101.133030303026, 62813.063200000004, 64475.98731707317, 66030.96868421053, 67560.24951219512, 69177.30264705882, 70791.13454545454","41205.686, 43878.20153846154, 56988.71555555556, 59662.735, 62985.052142857145, 65767.87, 68716.27055555556, 71707.625"
ETH_USDT,"2272.9515217391304, 2350.1064285714283, 2440.1875, 2535.6080769230766, 2613.0049999999997, 2955.945882352941, 3044.0725, 3131.5722580645165, 3218.5933333333337, 3384.0333333333333, 3472.574583333333, 3552.709090909091, 3646.840588235294, 3732.2213333333334, 3821.185625","2157.8986666666665, 2332.4241666666667, 2477.2954545454545, 2842.285, 3129.281, 3308.4775000000004, 3457.937142857143, 3613.6266666666666"
